role_category,total_jobs,percentage_of_jobs,avg_skills_per_job
BI / Reporting,13,65.0,7.2
Other Data Role,3,15.0,7.3
Data Engineering,2,10.0,8.0
Data Analytics,1,5.0,7.0
AI / ML,1,5.0,7.0
